Place,Type of meteorite,"Mass, g",Fell/found?,Year,Database,Coordinate 1,Coordinates 2
QUE 97749,H5,20.6,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21205,-84,168
GRA 98075,H5,20.6,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=11067,-86.71667,-141.5
QUE 99642,LL5,20.6,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=22088,-84,168
MET 01264,H5,20.6,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16496,-79.68333,159.75
Y-74422,H6,20.58,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24800,0,35.66667
Y-792783,LL4,20.58,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28132,-71.5,35.66667
A-880923,H4,20.58,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3632,-72,26
MET 00649,LL6,20.58,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15883,-79.68333,155.75
Y-791590,H4,20.57,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26939,-71.5,35.66667
A-881858,H6,20.56,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4567,-72,26
Y-791368,L6,20.55,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26717,-71.5,35.66667
A-880860,H4,20.55,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3569,-72,26
GRV 052040,L5,20.55,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=50355,-72.77833,75.31806
Y-793577,Howardite,20.53,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28926,-71.5,35.66667
A-87255,H6,20.53,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2612,-72,26
A-880214,Stone-uncl,20.53,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=2923,-72,26
A-881173,H3,20.51,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3882,-72,26
Guadaloupe County,Iron,20.5,Found,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=11430,29.5,-98
Y-75297,L4,20.5,Found,1975,http://www.lpi.usra.edu/meteor/metbull.php?code=25338,-71.5,35.66667
ALHA77047,L3.5,20.5,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1361,-76.71667,159.66667
LEW 88194,L5,20.5,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=13947,-84.27985,161.34894
EET 90210,L6,20.5,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8619,-76.28583,156.4869
PCA 91374,L6,20.5,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18665,-85.68822,-68.34139
PCA 91234,L6,20.5,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18525,-85.68353,-68.17794
QUE 94275,H6,20.5,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=19911,-84,168
QUE 94635,L5,20.5,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=20266,-84,168
QUE 97102,LL5,20.5,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20528,-84,168
QUE 97405,LL5,20.5,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20862,-84,168
QUE 97446,LL5,20.5,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20902,-84,168
QUE 97863,LL5,20.5,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21317,-84,168
QUE 97864,LL5,20.5,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21318,-84,168
QUE 97979,LL5,20.5,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21433,-84,168
FRO 97027,H6,20.5,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=10756,-72.95222,160.51778
Hualapai Wash 021,H4,20.5,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=11919,35.8895,-114.192
QUE 99128,L5,20.5,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21580,-84,168
QUE 99129,LL5,20.5,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21581,-84,168
MET 00708,LL6,20.5,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15942,-79.68333,159.75
MET 01248,LL5,20.5,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16480,-79.68333,159.75
El M?dano 134,H5,20.5,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56699,-24.85,-70.53333
El M?dano 142,L6,20.5,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56717,-24.85,-70.53333
Y-793543,Howardite,20.49,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28892,-71.5,35.66667
GRV 051537,H4,20.49,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=48193,-73.017222,75.255556
Y-86069,H4,20.48,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29575,-71.5,35.66667
A-880888,H4,20.47,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3597,-72,26
Y-74551,H6,20.46,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24929,0,35.66667
Y-791233,H4/5,20.46,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26582,-71.5,35.66667
Y-74644,H5,20.45,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=25022,-71.5,35.66667
Dho 790,H6,20.45,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7536,19.06632,54.52197
MET 00633,CM2,20.44,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15867,-79.68333,155.75
Y-8003,L6,20.43,Found,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=29050,-71.5,35.66667
GRV 051706,L4,20.43,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=48220,-72.780278,75.326389
GRV 050046,L5,20.43,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=48157,-73.105,75.171389
Y-792063,H4,20.42,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27412,-71.5,35.66667
A-880669,L6,20.42,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3378,-72,26
MET 00648,L6,20.42,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15882,-79.68333,155.75
Y-74502,H6,20.41,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24880,0,35.66667
MET 00746,L5,20.41,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15980,-79.68333,155.75
Burrika,L6,20.4,Found,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=5176,-31.96667,125.83333
ALHA77042,H5,20.4,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1356,-76.71667,159.66667
EET 83352,LL6,20.4,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=7988,-76.29583,157.23917
LEW 86348,H6,20.4,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13279,-84.27985,161.35251
LEW 87107,L6,20.4,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13578,-84.25423,161.39817
LEW 88689,H5,20.4,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14426,-84.27222,161.40483
LEW 88253,H6,20.4,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14004,-84.28408,161.34963
LEW 88221,L5,20.4,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=13974,-84.2848,161.33438
MAC 88103,H5,20.4,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=15267,-84.21667,160.5
EET 90292,L6,20.4,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8701,-76.27981,156.43139
QUE 93269,L5,20.4,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19358,-84.57771,162.04531
QUE 97116,LL5,20.4,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20574,-84,168
El M?dano 067,L6,20.4,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56178,-24.85,-70.53333
El M?dano 145,H5,20.4,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56709,-24.85,-70.53333
Y-74076,L6,20.36,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24454,-71.5,35.66667
A-880663,LL6,20.35,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3372,-72,26
A-880671,LL4,20.35,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3380,-72,26
GRV 052082,L6,20.35,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=46966,-72.77139,75.34111
Y-86062,H4,20.33,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29568,-71.5,35.66667
A-881326,L6,20.33,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4035,-72,26
DaG 1013,L4-5,20.32,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=5631,27.15222,16.51722
GRV 052914,L5,20.32,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=48381,-72.779167,75.316389
Y-7311,H6,20.3,Found,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=24377,-71.5,35.66667
ALHA77026,L6,20.3,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1340,-76.71667,159.66667
ALHA77197,L3.7,20.3,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1508,-76.71667,159.66667
LEW 85457,L6,20.3,Found,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=12925,-84.28333,161.08333
A-87157,H5,20.3,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2514,-72,26
EET 87800,L6,20.3,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8350,-76.28187,156.45676
FRO 90048,H6,20.3,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=10446,-72.95489,160.43796
EET 90736,L6,20.3,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9145,-76.26893,156.44203
EET 90596,L6,20.3,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9005,-76.27649,156.42737
PCA 91140,H6,20.3,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18431,-85.67698,-69.0521
PCA 91463,H5,20.3,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18754,-85.66673,-68.28574
QUE 94424,L5,20.3,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=20057,-84,168
ALH 95109,L6,20.3,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=1287,-76.71667,159.66667
QUE 97984,H6,20.3,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21438,-84,168
ALH 99501,H6,20.3,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=1302,-76.71667,159.66667
MET 00842,H6,20.3,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=16076,-79.68333,159.75
MAC 02666,Howardite,20.3,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=14963,-84.21667,160.5
RaS 311,H4-6,20.3,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=51983,20.78388,55.44787
GRV 053085,L6,20.28,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=48406,-72.779167,75.315556
Y-791045,H5,20.27,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26394,-71.5,35.66667
Y-791912,H4,20.27,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27261,-71.5,35.66667
JaH 259,H4,20.26,Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=35576,19.9888,56.47757
GRV 052127,L6,20.26,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=48273,-72.773333,75.34
Y-791098,H4,20.25,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26447,-71.5,35.66667
A-9042,Stone-uncl,20.25,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=4875,-72,26
MET 00695,L6,20.24,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15929,-79.68333,155.75
A-87129,H3,20.23,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2486,-72,26
GRV 020573,L5,20.23,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=47786,-72.984167,75.246944
GRV 053640,H5,20.23,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=48457,-72.779167,75.310556
GRV 053732,H5,20.21,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=48470,-72.778056,75.272778
ALHA78197,H5,20.2,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1810,-76.71667,159.66667
ALHA79036,H5,20.2,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=1910,-76.70389,159.18
RKPA80259,EH5,20.2,Found,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=22528,-76.23537,158.71484
ALH 84138,H5,20.2,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=740,-76.71035,158.78026
Y-86710,H4,20.2,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=30216,-71.5,35.66667
A-9041,Stone-uncl,20.2,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=4874,-72,26
EET 90539,L6,20.2,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8948,-76.28583,156.44156
EET 92154,LL6,20.2,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=9555,-76.04025,155.87049
QUE 93398,H6,20.2,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19486,-84,168
QUE 93658,L5,20.2,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19745,-84,168
LEW 93830,H6,20.2,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=14553,-84.27392,161.68763
QUE 94331,L5,20.2,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=19965,-84,168
QUE 94672,H5,20.2,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=20303,-84,168
GRA 95223,H5,20.2,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=10983,-86.71667,-141.5
MET 00945,LL5,20.2,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=16179,-79.68333,159.75
MET 00966,LL5,20.2,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=16200,-79.68333,159.75
MET 001108,LL6,20.2,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15604,-79.68333,159.75
SaU 304,L6,20.2,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=34053,21.06985,57.26393
HrDL 025,Unknown,20.2,Found,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=52108,35.04998,-117.26423
JaH 514,EL4,20.2,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=54447,19.52662,55.19542
Y-791438,Eucrite-mmict,20.18,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26787,-71.5,35.66667
Y-792013,Stone-uncl,20.18,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27362,-71.5,35.66667
A-87261,LL3,20.17,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2618,-72,26
Y-790200,Stone-uncl,20.15,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25549,-71.5,35.66667
Y-791665,H4,20.15,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27014,-71.5,35.66667
A-881320,L3.8,20.15,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4029,-72,26
DaG 1031,EL4,20.15,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=5646,27.14683,16.05017
A-881554,H4,20.14,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4263,-72,26
Y-790568,LL,20.11,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25917,-71.5,35.66667
ALHA78190,H5,20.1,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1803,-76.71667,159.66667
ALHA79041,H5,20.1,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=1915,-76.69028,159.36417
ALHA81164,H5,20.1,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=2124,-76.68778,159.36056
ALHA81297,H5,20.1,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=2255,-76.68083,159.34583
ALH 85157,L6,20.1,Found,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=1022,-76.89897,156.49871
EET 87824,H6,20.1,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8374,-76.18333,157.16667
LEW 88649,H6,20.1,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14386,-84.27728,161.40405
LEW 88647,H5,20.1,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14384,-84.27332,161.40238
ALH 88049,H5/6,20.1,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=1093,-76.7003,159.30852
ALH 90410,H5,20.1,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=1253,-76.97765,156.92485
PCA 91281,H5,20.1,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18572,-85.68835,-68.90241
LEW 93818,H5,20.1,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=14541,-84.27392,161.68476
QUE 94476,L5,20.1,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=20108,-84,168
QUE 97313,LL5,20.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20771,-84,168
QUE 97323,LL5,20.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20781,-84,168
QUE 97354,LL5,20.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20812,-84,168
QUE 97595,H5,20.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21051,-84,168
QUE 97692,LL5,20.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21148,-84,168
EET 99434,L5,20.1,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=9977,-76.18333,157.16667
StV 006,H4,20.1,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=55534,36.23728,-116.1722
Arlit,H5,20.1,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=30441,18.673,7.34225
A-881207,H5,20.08,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3916,-72,26
Y-790420,H6,20.07,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25769,-71.5,35.66667
A-881711,H6,20.07,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4420,-72,26
Y-791206,Howardite,20.05,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26555,-71.5,35.66667
Y-86066,H4,20.04,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29572,-71.5,35.66667
Y-791111,LL5/6,20.02,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26460,-71.5,35.66667
LV 083,Unknown,20.02,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=52520,34.51128,-116.94062
A-880909,EH3,20.01,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3618,-72,26
Nagaria,Eucrite-cm,20,Fell,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=16892,26.98333,78.21667
Selcany,Iron,20,Found,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=23482,49.75,14.41667
Doolgunna,L,20,Found,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=7710,-25.93333,119.3
ALHA81285,LL6,20,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=2243,-76.65955,159.31255
ALH 82142,L6,20,Found,1982,http://www.lpi.usra.edu/meteor/metbull.php?code=518,-76.89166,156.96457
ALH 83047,H5,20,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=567,-76.69917,159.39861
ALH 84150,H6,20,Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=752,-77.02435,156.97828
Clarion,H4,20,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=5372,12.5,-137.7
LEW 87295,Eucrite-pmict,20,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13755,-84.36404,161.3835
LEW 87161,H6,20,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13628,-84.34176,161.2433
LEW 88297,H6,20,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14048,-84.23947,161.47461
LEW 88172,H5,20,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=13925,-84.23704,161.43765
LEW 88314,H5,20,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14065,-84.27256,161.40443
LEW 88308,L5,20,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14059,-84.26947,161.40292
EET 90843,L6,20,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9252,-76.28681,156.49212
EET 90174,L6,20,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8583,-76.28629,156.48989
EET 90112,L6,20,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8521,-76.26857,156.45213
Muckera 006,LL5,20,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=16826,-30.36667,130.08333
Hughes 033,CO3,20,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=11957,-30.13389,129.0625
QUE 93409,H6,20,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19497,-84,168
QUE 93556,H5,20,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19644,-84,168
Reid 021,L6,20,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=22576,-30.06783,128.98483
EET 96244,H5,20,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=9835,-76.18333,157.16667
QUE 97077,CM2,20,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20484,-84,168
QUE 97404,LL5,20,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20861,-84,168
QUE 99065,LL5,20,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21517,-84,168
QUE 99144,LL5,20,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21596,-84,168
QUE 99166,LL5,20,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21618,-84,168
Dho 205,H4-5,20,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6989,19.39333,54.78
Rabbit Dry Lake,L6,20,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=22366,34.44567,-117.01083
JaH 056,H5,20,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=33990,19.23,55.18167
Dho 1299,H6,20,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=34515,19.13667,54.785
GRV 020078,H4,20,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=30678,-73.01389,75.27083
Caleta el Cobre 014,H4,20,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=54632,-24.25,-70.51667
GRV 022134,L6,19.99,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=46582,-72.77889,75.31361
Y-790636,LL,19.98,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25985,-71.5,35.66667
Y-86292,H4,19.98,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29798,-71.5,35.66667
Y-790571,LL,19.96,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25920,-71.5,35.66667
FRO 93012,L5,19.95,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=10643,-72.95306,160.52972
A-880672,H4,19.93,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3381,-72,26
A-881545,H6,19.93,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4254,-72,26
Y-790459,L6,19.92,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=25808,-71.5,35.66667
Y-792023,Stone-uncl,19.91,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27372,-71.5,35.66667
A-881027,H6,19.91,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3736,-72,26
JaH 104,H6,19.91,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=12163,19.91392,56.99992
ALHA77158,H5,19.9,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1470,-76.71667,159.66667
ALHA77306,CM2,19.9,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1615,-76.71667,159.66667
ALHA81242,H5,19.9,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=2201,-76.69167,159.29945
LEW 86325,H5,19.9,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13257,-84.27376,161.69052
LEW 88293,H6,19.9,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14044,-84.23586,161.41952
EET 90721,H5,19.9,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9130,-76.28104,156.403
QUE 93505,H5,19.9,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19593,-84,168
Camel Donga 050,LL6,19.9,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=50987,-30.1085,126.52717
EET 96017,CM2,19.9,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=9611,-76.18333,157.16667
EET 96213,LL4,19.9,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=9804,-76.18333,157.16667
QUE 99122,E-an,19.9,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21574,-84,168
Willcox Playa 004,L6,19.9,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=51581,32.14202,-109.82423
El M?dano 072,H4,19.9,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56373,-24.85,-70.53333
El M?dano 147,L6,19.9,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56711,-24.85,-70.53333
A-881628,LL3,19.88,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4337,-72,26
GRV 022154,L6,19.87,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=46860,-72.77889,75.31361
Y-794065,H6,19.85,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=29019,-71.5,35.66667
Y-86070,H4,19.85,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29576,-71.5,35.66667
CdDL 014,Unknown,19.85,Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=52975,35.299,-117.46008
A-880973,H3.6,19.84,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3682,-72,26
A-881563,L6,19.83,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4272,-72,26
Y-794008,H3.6,19.82,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28962,-71.5,35.66667
A-880837,H4,19.81,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3546,-72,26
ALHA78173,H5,19.8,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1786,-76.71667,159.66667
ALHA80131,H4,19.8,Found,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=1958,-76.68944,159.36917
ALHA81288,H6,19.8,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=2246,-76.69389,159.39417
LEW 86364,H6,19.8,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13295,-84.27384,161.68973
LEW 86271,H5,19.8,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13204,-84.27378,161.68797
LEW 88290,H6,19.8,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=14041,-84.2363,161.42151
